2,ICBC,China,$208.13 B,$54.03 B,$5518.51 B,$214.43 B
5,China Construction Bank,China,$202.07 B,$46.89 B,$4746.95 B,$181.32 B
8,Agricultural Bank of China,China,$181.42 B,$37.38 B,$4561.05 B,$133.38 B
13,Bank of China,China,$152.43 B,$33.57 B,$4192.84 B,$117.83 B
17,Ping An Insurance Group,China,$181.37 B,$15.74 B,$1587.11 B,$121.69 B
21,PetroChina,China,$380.31 B,$14.29 B,$392.6 B,$142.3 B
24,China Merchants Bank,China,$71.07 B,$18.58 B,$1451.2 B,$167.32 B
28,Tencent Holdings,China,$86.86 B,$34.94 B,$252.99 B,$414.28 B
30,Postal Savings Bank Of China (PSBC),China,$77.61 B,$11.33 B,$1975.08 B,$125.53 B
33,Alibaba Group,China,$129.76 B,$10.17 B,$276.25 B,$237.78 B
45,Sinopec,China,$384.82 B,$11.04 B,$292.05 B,$80.81 B
55,Industrial Bank,China,$60.53 B,$12.82 B,$1350.32 B,$68.59 B
62,Bank of Communications,China,$76 B,$12.98 B,$1830.4 B,$52.82 B
71,China Life Insurance,China,$130.5 B,$7.87 B,$769.88 B,$43.02 B
107,Shanghai Pudong Development,China,$54.77 B,$8.47 B,$1247.94 B,$36.6 B
136,China Shenhua Energy,China,$52.02 B,$8 B,$95.81 B,$62.81 B
148,China Citic Bank,China,$56.99 B,$8.63 B,$1261.96 B,$25.26 B
189,Poly Developments & Holdings Group,China,$42.94 B,$4.25 B,$219.65 B,$32.81 B
193,China Telecom,China,$68.15 B,$4.02 B,$121.1 B,$35.23 B
197,China Vanke,China,$71.42 B,$3.5 B,$304.19 B,$27.92 B
203,SAIC Motor,China,$121.42 B,$3.71 B,$133.97 B,$28.87 B
205,China Everbright Bank,China,$42.38 B,$6.72 B,$926.05 B,$20.11 B
207,China Pacific Insurance,China,$68.07 B,$4.16 B,$300.52 B,$22.69 B
217,Midea Group,China,$50.6 B,$4.4 B,$58.24 B,$60.55 B
238,China Minsheng Bank,China,$50.08 B,$4.8 B,$1090.92 B,$16.74 B
242,Longfor Group Holdings,China,$34.8 B,$3.7 B,$137.39 B,$30.05 B
243,Cosco Shipping,China,$51.77 B,$13.85 B,$64.91 B,$25.8 B
245,China Communications Construction,China,$108.41 B,$3.03 B,$222.7 B,$19.1 B
254,Country Garden Holdings,China,$81.13 B,$4.15 B,$305.7 B,$15.65 B
256,China Railway Group,China,$166.46 B,$3.95 B,$213.64 B,$15.36 B
290,Baoshan Iron & Steel,China,$55.52 B,$4.06 B,$62.17 B,$23.35 B
291,Kweichow Moutai,China,$14.6 B,$8.13 B,$40.04 B,$343.32 B
291,Xiaomi,China,$50.91 B,$2.98 B,$45.96 B,$37.03 B
293,Bank of Ningbo,China,$13.71 B,$3.03 B,$316.26 B,$37.67 B
296,Contemporary Amperex Technology,China,$20.14 B,$2.47 B,$48.27 B,$148.42 B
307,BOE Technology Group,China,$33.78 B,$4.01 B,$70.56 B,$23.25 B
324,Zijin Mining Group,China,$37.21 B,$3.01 B,$36.82 B,$41.33 B
334,Huaxia Bank,China,$26.38 B,$3.59 B,$549.24 B,$13.28 B
344,Citic Securities,China,$11.74 B,$3.56 B,$200.63 B,$32.19 B
353,Bank of Beijing,China,$19.38 B,$3.55 B,$473.06 B,$15.09 B
354,Bank Of Jiangsu,China,$17.9 B,$2.88 B,$399.65 B,$17.05 B
356,Gree Electric Appliances,China,$27.88 B,$3.71 B,$44.27 B,$27.82 B
371,China Railway Construction,China,$157.66 B,$3.83 B,$212.29 B,$8.69 B
374,Anhui Conch Cement,China,$26.05 B,$5.17 B,$36.17 B,$26.78 B
379,Power Construction Corporation of China,China,$70.28 B,$1.31 B,$156.4 B,$16.34 B
388,Bank Of Shanghai,China,$15.94 B,$3.45 B,$410.39 B,$14.76 B
392,Wanhua Chemical Group,China,$22.43 B,$3.82 B,$29.86 B,$38.63 B
394,China Merchants Shekou Industrial Zone Holdings,China,$23.41 B,$1.61 B,$134.34 B,$19.42 B
394,Haier Smart Home,China,$35.16 B,$2.03 B,$34.12 B,$33.26 B
414,Greenland Holdings Group,China,$84.53 B,$2.17 B,$215.77 B,$9.36 B
418,Baidu,China,$19.31 B,$1.58 B,$59.63 B,$32.49 B
422,Bank of Nanjing,China,$12.17 B,$2.61 B,$296.8 B,$18.84 B
425,China Yangtze Power,China,$8.52 B,$4.08 B,$51.5 B,$83.05 B
452,China State Construction Engineering,China,$205.79 B,$5.87 B,$375 M,$36.91 B
455,Hengli Petrochemical,China,$30.17 B,$2.41 B,$33 B,$21.93 B
462,Sunac China Holdings,China,$38.49 B,$5.5 B,$186.56 B,$3.18 B
463,China Evergrande Group,China,$70.4 B,$2.45 B,$367.96 B,$2.78 B
467,JD.com,China,$147.63 B,$-560.4 M,$77.9 B,$68.56 B
469,China National Building,China,$42.58 B,$2.51 B,$72.57 B,$10.55 B
476,New China Life Insurance,China,$34.44 B,$2.31 B,$176.36 B,$8.91 B
496,Shaanxi Coal Industry,China,$22.28 B,$2.71 B,$26.6 B,$24.76 B
510,China Coal Energy,China,$35.86 B,$2.28 B,$50.42 B,$11.14 B
516,NetEase,China,$13.59 B,$2.62 B,$24.11 B,$52.53 B
535,CRRC,China,$34.8 B,$1.6 B,$67.03 B,$10.5 B
541,Yankuang Energy Group,China,$16.86 B,$2.63 B,$47.38 B,$14.32 B
559,China Zheshang Bank,China,$15.99 B,$1.96 B,$358.9 B,$9 B
565,Muyuan Foodstuff,China,$11.27 B,$2.33 B,$26.18 B,$44.12 B
579,BYD,China,$32.78 B,$469.6 M,$46.55 B,$84.46 B
581,Pinduoduo,China,$14.57 B,$1.21 B,$28.43 B,$43.53 B
589,Fosun International,China,$25.02 B,$1.57 B,$126.52 B,$8.48 B
590,Weichai Power,China,$31.4 B,$1.43 B,$43.47 B,$12.04 B
607,Hikvision,China,$12.99 B,$2.64 B,$16.46 B,$59.33 B
613,S.F. Holding,China,$32.05 B,$661.9 M,$32.93 B,$36.66 B
617,Metallurgical Corp of China,China,$77.3 B,$1.3 B,$85.27 B,$5.15 B
622,Sany Heavy Industry,China,$17.59 B,$2.39 B,$21.14 B,$21.93 B
627,Meituan,China,$27.79 B,$-3.65 B,$37.76 B,$111.43 B
633,China Tower Corp.,China,$13.43 B,$1.14 B,$50.21 B,$20.28 B
636,Wuliangye Yibin,China,$8.48 B,$3.49 B,$18.3 B,$98.98 B
642,Rongsheng Petrochemical,China,$27.22 B,$656.7 M,$52.18 B,$21.52 B
645,Bank Of Hangzhou,China,$8.7 B,$1.44 B,$218.42 B,$13.96 B
651,CGN Power,China,$12.47 B,$1.59 B,$63.56 B,$13.58 B
655,China Hongqiao Group,China,$17.76 B,$2.49 B,$29.56 B,$12.76 B
661,Lufax Holding,China,$9.67 B,$2.6 B,$56.55 B,$13.52 B
667,Xiamen C&D,China,$109.61 B,$945.5 M,$94.53 B,$6.02 B
670,PICC,China,$90.1 B,$3.32 B,$197 M,$14.37 B
690,Legend Holding,China,$75.97 B,$889.8 M,$106.8 B,$2.81 B
691,Sinopharm Group,China,$80.8 B,$1.2 B,$52.63 B,$6.77 B
693,Luxshare Precision Industry,China,$23.87 B,$1.03 B,$18.25 B,$31.7 B
694,Seazen Group,China,$26.4 B,$1.33 B,$85.06 B,$2.86 B
696,China Energy Engineering,China,$49.75 B,$1.01 B,$82.98 B,$4.17 B
711,Daqin Railway,China,$11.83 B,$1.88 B,$29.96 B,$16.04 B
714,Gemdale,China,$14.32 B,$1.34 B,$71.52 B,$9.58 B
724,Longi Green Energy Technology,China,$11.76 B,$1.5 B,$16.05 B,$51.73 B
739,China Cinda Asset Management,China,$10.29 B,$1.87 B,$245.44 B,$6.47 B
747,Guotai Junan Securities,China,$6.7 B,$2.02 B,$113.57 B,$11.51 B
752,TCL,China,$25.27 B,$930.5 M,$48.59 B,$9.67 B
753,Huatai Securities,China,$6.04 B,$2.06 B,$126.57 B,$12.74 B
755,Inner Mongolia Yili,China,$16.52 B,$1.38 B,$12.94 B,$37.83 B
764,Huishang Bank,China,$10.26 B,$1.7 B,$217.18 B,$4.43 B
765,Great Wall Motor,China,$20.52 B,$1.04 B,$27.52 B,$13.08 B
766,Haitong Securities,China,$7.8 B,$1.99 B,$116.88 B,$9.56 B
767,Dongfeng Motor Group,China,$17.5 B,$1.76 B,$50.17 B,$6.23 B
768,China Reinsurance Group,China,$25.39 B,$985.4 M,$75.22 B,$3.9 B
783,China Bohai Bank,China,$10.56 B,$1.34 B,$248.5 B,$3.01 B
796,CIFI Holdings Group,China,$16.77 B,$1.18 B,$67.9 B,$4.19 B
815,Chongqing Rural Bank,China,$8.68 B,$1.48 B,$198.67 B,$4.46 B
830,Zhongsheng Group Holdings,China,$27.15 B,$1.29 B,$13.41 B,$16.05 B
835,East Money Information,China,$2.13 B,$1.33 B,$29.03 B,$41.33 B
841,Jinke Property Group,China,$15.58 B,$1.09 B,$61.03 B,$3.73 B
852,Beijing-Shanghai High-Speed Railway,China,$4.75 B,$880 M,$46.43 B,$37.02 B
853,Aluminum Corp of China,China,$41.84 B,$754.4 M,$30.18 B,$9.13 B
856,China International Travel Service,China,$10.37 B,$1.08 B,$8.68 B,$53.27 B
863,Shanghai International Port,China,$5.18 B,$2.28 B,$26.8 B,$21.72 B
873,ZTE,China,$17.64 B,$1.05 B,$26.64 B,$9.76 B
880,Logan Property Holdings,China,$12.2 B,$1.53 B,$44.87 B,$1.7 B
898,GF Securities,China,$5.85 B,$1.68 B,$84.08 B,$9.87 B
899,China Merchants Securities,China,$5.7 B,$1.68 B,$93.71 B,$9.86 B
908,Guosen Securities,China,$3.76 B,$1.37 B,$56.27 B,$15.04 B
911,Jiangxi Copper,China,$68.46 B,$894.6 M,$25.27 B,$5.72 B
915,China National Nuclear Power,China,$9.6 B,$471.8 M,$64.27 B,$22 B
917,China International Capital,China,$3.61 B,$1.62 B,$101.95 B,$10.03 B
918,China Molybdenum,China,$26.77 B,$792.4 M,$21.57 B,$11.4 B
923,Shanghai Construction,China,$43.4 B,$584.4 M,$55.51 B,$4.22 B
935,Jiangsu Zhongnan Construction Group,China,$14 B,$946.2 M,$54.31 B,$2.46 B
937,Semiconductor Manufacturing International,China,$5.51 B,$1.67 B,$36.08 B,$16.03 B
940,ENN Energy Holdings,China,$14.44 B,$1.2 B,$15.69 B,$14.99 B
951,Shanghai Rural Commercial Bank,China,$5.77 B,$1.18 B,$164.28 B,$9.28 B
965,Shenwan Hongyuan Group,China,$6.81 B,$1.46 B,$94.3 B,$5.46 B
977,China International Marine,China,$25.3 B,$1.03 B,$24.21 B,$5.48 B
979,Huaneng Power International,China,$31.47 B,$-1.99 B,$78.57 B,$7.46 B
983,Agile Group Holdings,China,$11.52 B,$1.04 B,$49.67 B,$1.85 B
985,Shenzhen Overseas,China,$14.88 B,$589.1 M,$75.32 B,$8.54 B
1015,Yango Group,China,$12.63 B,$828.3 M,$57.93 B,$1.66 B
1017,Shanghai Pharmaceuticals,China,$33.36 B,$787.8 M,$25.64 B,$6.02 B
1019,Shaanxi Construction Engineering Group,China,$23.76 B,$717.5 M,$34.62 B,$2.8 B
1020,Hunan Valin Steel,China,$25.84 B,$1.43 B,$16.55 B,$6.29 B
1025,Anta Sports Products,China,$7.65 B,$1.2 B,$9.83 B,$31.9 B
1056,Bank Of Chengdu,China,$4.69 B,$1.07 B,$115.52 B,$9.08 B
1061,RiseSun Real Estate Development,China,$10.88 B,$952.4 M,$44.93 B,$2.55 B
1076,Guangzhou Automobile Group,China,$11.74 B,$1.16 B,$24.2 B,$8.59 B
1079,Beijing Shougang,China,$20.56 B,$924 M,$23.05 B,$6.46 B
1081,Csc Financial,China,$6.06 B,$1.5 B,$71.04 B,$7.39 B
1083,Shenzhen Mindray Bio-Medical Electronics,China,$4.07 B,$1.31 B,$6.04 B,$56.3 B
1085,Tongwei,China,$9.07 B,$955.7 M,$12.9 B,$25.56 B
1095,China Galaxy Securities,China,$4.98 B,$1.57 B,$87.89 B,$5.85 B
1096,CNPC Capital,China,$5.33 B,$860.6 M,$155.42 B,$9.49 B
1097,China Southern Airlines,China,$15.76 B,$-1.88 B,$50.71 B,$9.46 B
1099,GD Power Development,China,$23.2 B,$349 M,$59.02 B,$7.53 B
1103,China Longyuan Power,China,$5.72 B,$993 M,$29.7 B,$16.82 B
1106,China Aoyuan Group,China,$10.86 B,$838.2 M,$48.93 B,$446 M
1116,Nongfu Spring,China,$4.6 B,$1.11 B,$5.16 B,$60.71 B
1118,Greentown China Holdings,China,$15.73 B,$504.5 M,$81.75 B,$4.45 B
1120,TBEA,China,$9.39 B,$1.12 B,$19.83 B,$11.1 B
1133,Luzhou Lao Jiao,China,$2.92 B,$1.21 B,$6.78 B,$45.69 B
1137,Kaisa Group Holdings,China,$9.55 B,$847.8 M,$49.39 B,$751 M
1138,China Huarong Asset Management,China,$11.24 B,$58.7 M,$246.09 B,$3.89 B
1143,BAIC Motor,China,$27.27 B,$597.1 M,$28.38 B,$2.48 B
1151,Foshan Haitian Flavouring and Food,China,$3.84 B,$1.03 B,$5.23 B,$58.05 B
1157,Yum China Holdings,China,$9.85 B,$990 M,$13.22 B,$17.41 B
1177,China National Chemical,China,$20.54 B,$581.2 M,$25.21 B,$8.52 B
1181,Chongqing Zhifei Biological Products,China,$4.74 B,$1.58 B,$4.71 B,$25.21 B
1182,Angang Steel,China,$21.02 B,$1.07 B,$15.3 B,$4.35 B
1182,STO Express,China,$39.15 B,$-1.41 B,$29.45 B,$1.92 B
1189,Bank of Changsha,China,$5.66 B,$941.9 M,$121.72 B,$4.83 B
1193,Kuaishou Technology,China,$12.58 B,$-12.05 B,$14.52 B,$32.25 B
1194,BBMG,China,$18.91 B,$454 M,$44.93 B,$1.73 B
1195,Suning.com,China,$28.6 B,$-1.9 B,$32.44 B,$4.71 B
